IdMulta;IdFalta;CodigoFalta;TipoFormato;NivelGravedad;IdTiempo;Anio;Mes;MultasImpuestas;ImporteImpuesto;ReincidenciaImpuesta
1;26;G04;Video Papeleta;G;2;2022;2;3;1104;0
2;71;G28;Papeleta de Tránsito;G;1;2022;1;1;368;0
3;134;G54;Papeleta de Tránsito;G;9;2022;9;148;54464;0
4;27;G05;Papeleta de Tránsito;G;11;2022;11;7;2576;0
5;73;G29;Papeleta de Tránsito;G;9;2022;9;1;368;0
6;237;M40;Papeleta de Tránsito;M;3;2022;3;2;4360;0
7;242;M44;Video Papeleta;M;3;2022;3;9;4968;0
8;183;M03;Papeleta de Tránsito;M;6;2022;6;30;69000;0
9;67;G25;Papeleta de Tránsito;G;7;2022;7;1;368;0
10;45;G12;Papeleta de Tránsito;G;6;2022;6;11;4048;0
11;183;M03;Papeleta de Tránsito;M;5;2022;5;1;2300;0
12;95;G40;Papeleta de Tránsito;G;5;2022;5;2;736;0
13;105;G42;Video Papeleta;G;8;2022;8;8;2944;0
14;134;G54;Papeleta de Tránsito;G;2;2022;2;1;368;0
15;182;M02;Papeleta de Tránsito;M;1;2022;1;3;6900;0
16;47;G13;Papeleta de Tránsito;G;6;2022;6;2;736;0
17;236;M39;Papeleta de Tránsito;M;5;2022;5;1;0;0
18;105;G42;Video Papeleta;G;9;2022;9;1;368;0
19;183;M03;Papeleta de Tránsito;M;5;2022;5;1;2300;0
20;181;M01;Papeleta de Tránsito;M;6;2022;6;3;13800;0
21;105;G42;Video Papeleta;G;6;2022;6;1;368;0
22;118;G47;Papeleta de Tránsito;G;8;2022;8;10;3680;736
23;176;L04;Papeleta de Tránsito;L;11;2022;11;2;368;184
24;149;G60;Papeleta de Tránsito;G;9;2022;9;1;368;0
25;32;G08;Papeleta de Tránsito;G;1;2022;1;17;6256;0
26;57;G17;Papeleta de Tránsito;G;4;2022;4;1;368;0
27;184;M04;Papeleta de Tránsito;M;3;2022;3;1;4600;0
28;182;M02;Papeleta de Tránsito;M;1;2022;1;1;2300;0
29;97;G40;Video Papeleta;G;2;2022;2;501;184368;0
30;32;G08;Papeleta de Tránsito;G;3;2022;3;5;1840;0
31;120;G47;Video Papeleta;G;4;2022;4;512;188416;0
32;22;G02;Papeleta de Tránsito;G;11;2022;11;420;154560;3312
33;57;G17;Papeleta de Tránsito;G;5;2022;5;54;19872;736
34;210;M20a;Papeleta Electrónica;M;3;2022;3;6;4968;0
